RankMethod,down,ydstogo,yards_gained,first_down_rush,first_down_pass,first_down_penalty,fourth_down_failed,interception,safety,fumble_lost,play_id
Touchdown,1.0,10,99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1238
Touchdown,1.0,10,97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2475
Touchdown,1.0,10,97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1222
Touchdown,2.0,10,92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2155
Touchdown,2.0,9,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2897
Touchdown,1.0,10,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1224
Touchdown,3.0,10,89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2619
Touchdown,1.0,10,85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1384
Touchdown,1.0,10,83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3026
Touchdown,2.0,8,82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2903
Touchdown,3.0,3,80,0.0,1.0,0.0,0.0,0.0,0.0,0.0,617
Touchdown,2.0,12,79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3577
Touchdown,2.0,9,78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3041
Touchdown,1.0,10,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1494
Touchdown,1.0,10,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,959
Touchdown,3.0,9,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1174
Touchdown,3.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3564
Touchdown,3.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539
Touchdown,2.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3122
Touchdown,2.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1783
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3264
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1640
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,355
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3499
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3776
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,324
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,274
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,875
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3315
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3723
Touchdown,1.0,10,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2080
Touchdown,1.0,10,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2305
Touchdown,2.0,9,74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2020
Touchdown,2.0,4,74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3553
Touchdown,2.0,8,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2910
Touchdown,1.0,10,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4120
Touchdown,2.0,14,72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3804
Touchdown,3.0,7,72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3891
Touchdown,2.0,10,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,608
Touchdown,2.0,5,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1148
Touchdown,1.0,10,69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4172
Touchdown,1.0,10,68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1442
Touchdown,1.0,10,68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2372
Touchdown,2.0,3,68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3361
Touchdown,2.0,12,67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2872
Touchdown,3.0,5,67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,201
Touchdown,3.0,2,67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2072
Touchdown,1.0,10,67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,913
Touchdown,4.0,6,66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,329
Touchdown,2.0,10,66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1898
Touchdown,1.0,10,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3204
